"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_남_총인구수","2023년06월_남_연령구간인구수","2023년06월_남_0~9세","2023년06월_여_총인구수","2023년06월_여_연령구간인구수","2023년06월_여_0~9세","2023년07월_계_총인구수","2023년07월_계_연령구간인구수","2023년07월_계_0~9세","2023년07월_남_총인구수","2023년07월_남_연령구간인구수","2023년07월_남_0~9세","2023년07월_여_총인구수","2023년07월_여_연령구간인구수","2023년07월_여_0~9세","2023년08월_계_총인구수","2023년08월_계_연령구간인구수","2023년08월_계_0~9세","2023년08월_남_총인구수","2023년08월_남_연령구간인구수","2023년08월_남_0~9세","2023년08월_여_총인구수","2023년08월_여_연령구간인구수","2023년08월_여_0~9세"
"전국  (0000000000)","51,392,745","3,431,910","3,431,910","25,607,244","1,758,737","1,758,737","25,785,501","1,673,173","1,673,173","51,387,133","3,415,119","3,415,119","25,603,147","1,750,129","1,750,129","25,783,986","1,664,990","1,664,990","51,377,213","3,398,415","3,398,415","25,596,921","1,741,601","1,741,601","25,780,292","1,656,814","1,656,814"
"서울특별시  (1100000000)","9,414,093","528,601","528,601","4,557,609","271,154","271,154","4,856,484","257,447","257,447","9,411,260","526,144","526,144","4,555,784","269,981","269,981","4,855,476","256,163","256,163","9,409,466","523,404","523,404","4,554,020","268,541","268,541","4,855,446","254,863","254,863"
"부산광역시  (2600000000)","3,306,993","200,627","200,627","1,613,071","102,935","102,935","1,693,922","97,692","97,692","3,305,052","199,654","199,654","1,611,959","102,412","102,412","1,693,093","97,242","97,242","3,302,740","198,657","198,657","1,610,738","101,922","101,922","1,692,002","96,735","96,735"
"대구광역시  (2700000000)","2,356,416","153,568","153,568","1,157,923","78,588","78,588","1,198,493","74,980","74,980","2,379,086","153,424","153,424","1,169,503","78,529","78,529","1,209,583","74,895","74,895","2,378,464","152,853","152,853","1,169,083","78,282","78,282","1,209,381","74,571","74,571"
"인천광역시  (2800000000)","2,978,749","205,182","205,182","1,490,345","105,207","105,207","1,488,404","99,975","99,975","2,981,553","204,597","204,597","1,491,638","104,910","104,910","1,489,915","99,687","99,687","2,985,152","204,094","204,094","1,493,440","104,629","104,629","1,491,712","99,465","99,465"
"광주광역시  (2900000000)","1,424,818","103,295","103,295","703,887","52,853","52,853","720,931","50,442","50,442","1,424,305","102,694","102,694","703,548","52,561","52,561","720,757","50,133","50,133","1,423,810","102,152","102,152","703,131","52,259","52,259","720,679","49,893","49,893"
"대전광역시  (3000000000)","1,445,126","99,672","99,672","720,783","51,219","51,219","724,343","48,453","48,453","1,444,898","99,181","99,181","720,637","50,935","50,935","724,261","48,246","48,246","1,444,837","98,660","98,660","720,688","50,731","50,731","724,149","47,929","47,929"
"울산광역시  (3100000000)","1,106,015","82,111","82,111","568,302","42,155","42,155","537,713","39,956","39,956","1,105,326","81,513","81,513","567,947","41,840","41,840","537,379","39,673","39,673","1,104,448","80,992","80,992","567,403","41,571","41,571","537,045","39,421","39,421"
"세종특별자치시  (3600000000)","386,126","45,076","45,076","192,435","22,917","22,917","193,691","22,159","22,159","386,192","44,799","44,799","192,449","22,791","22,791","193,743","22,008","22,008","385,953","44,517","44,517","192,271","22,620","22,620","193,682","21,897","21,897"
"경기도  (4100000000)","13,618,969","1,016,203","1,016,203","6,852,980","519,980","519,980","6,765,989","496,223","496,223","13,623,055","1,011,869","1,011,869","6,854,747","517,818","517,818","6,768,308","494,051","494,051","13,624,964","1,007,256","1,007,256","6,855,409","515,447","515,447","6,769,555","491,809","491,809"
"강원특별자치도  (5100000000)","1,532,617","93,493","93,493","771,147","47,940","47,940","761,470","45,553","45,553","1,532,050","93,027","93,027","770,730","47,696","47,696","761,320","45,331","45,331","1,531,390","92,627","92,627","770,401","47,453","47,453","760,989","45,174","45,174"
"충청북도  (4300000000)","1,593,931","106,098","106,098","810,748","54,337","54,337","783,183","51,761","51,761","1,594,240","105,629","105,629","810,943","54,046","54,046","783,297","51,583","51,583","1,594,337","105,246","105,246","810,927","53,884","53,884","783,410","51,362","51,362"
"충청남도  (4400000000)","2,126,374","147,891","147,891","1,088,924","75,791","75,791","1,037,450","72,100","72,100","2,126,640","147,071","147,071","1,089,245","75,426","75,426","1,037,395","71,645","71,645","2,127,077","146,347","146,347","1,089,549","75,036","75,036","1,037,528","71,311","71,311"
"전라북도  (4500000000)","1,762,021","106,279","106,279","876,978","54,290","54,290","885,043","51,989","51,989","1,761,169","105,658","105,658","876,459","53,930","53,930","884,710","51,728","51,728","1,759,815","105,071","105,071","875,839","53,633","53,633","883,976","51,438","51,438"
"전라남도  (4600000000)","1,811,554","111,216","111,216","912,823","56,898","56,898","898,731","54,318","54,318","1,810,071","110,626","110,626","912,075","56,555","56,555","897,996","54,071","54,071","1,808,339","110,033","110,033","911,340","56,246","56,246","896,999","53,787","53,787"
"경상북도  (4700000000)","2,588,860","158,791","158,791","1,307,284","81,706","81,706","1,281,576","77,085","77,085","2,564,065","157,114","157,114","1,294,579","80,761","80,761","1,269,486","76,353","76,353","2,561,623","156,073","156,073","1,293,508","80,259","80,259","1,268,115","75,814","75,814"
"경상남도  (4800000000)","3,263,251","220,698","220,698","1,643,148","113,516","113,516","1,620,103","107,182","107,182","3,261,361","219,246","219,246","1,642,061","112,794","112,794","1,619,300","106,452","106,452","3,258,309","217,789","217,789","1,640,552","112,048","112,048","1,617,757","105,741","105,741"
"제주특별자치도  (5000000000)","676,832","53,109","53,109","338,857","27,251","27,251","337,975","25,858","25,858","676,810","52,873","52,873","338,843","27,144","27,144","337,967","25,729","25,729","676,489","52,644","52,644","338,622","27,040","27,040","337,867","25,604","25,604"
